1022887985,1,2014/09/29,30,2016/07/06,640,34,R1,3,727,1202,1,415,334,1,5,1
1039448720,1,2016/04/05,35,2016/06/23,86,32,R1,23,324,399,0,161,65,1,0,1
1030338565,1,2015/12/16,40,2016/03/22,197,42,R1,22,235,790,8,2019,62,7,8,1
1093088770,0,2016/05/14,60,(null),47,50,R1,23,41,130,0,82,28,0,0,0
1075657875,1,2014/06/30,35,(null),731,31,R1,0,159,656,0,6,30,1,0,1
1084537700,1,2014/03/10,40,2016/02/11,843,22,R1,1,118,224,2,2334,77,1,0,1
1097358700,0,2016/03/28,44,(null),94,27,R2,21,173,595,1,38,17,0,0,0
1052427715,1,2014/03/14,40,2016/02/16,839,45,R6,1,97,294,2,616,40,2,4,1
1050937440,0,2013/09/25,40,(null),1009,33,R2,-9,57,173,3,386,28,0,1,0
1073118780,0,2016/05/20,40,(null),41,44,R1,23,164,356,0,74,23,0,0,0
1013158050,1,2014/11/28,30,2016/06/25,580,33,R3,6,8,29,0,478,5,1,0,1
1081388160,0,2015/02/24,30,(null),492,48,R4,8,34,57,1,83,2,0,0,0
1041776920,0,2012/12/09,40,(null),1299,34,R1,-19,348,3209,3,667,82,0,2,0
1094716565,0,2012/04/17,25,(null),1535,52,R2,-22,234,389,0,170,85,0,0,0
1064858085,0,2014/12/18,33,(null),560,24,R2,6,499,1321,2,1597,70,1,0,1
1056148670,1,2016/03/08,40,2016/05/09,114,56,R1,23,36,171,0,49,35,1,0,1
1018178715,0,2016/03/29,60,(null),93,47,R5,21,45,38,1,80,7,0,0,0
1020847500,1,2013/11/08,40,2016/10/15,965,47,R1,-8,10,18,1,985,4,1,0,1
1023147775,1,2014/04/11,25,2016/03/24,811,57,R1,1,103,170,1,1691,27,1,0,1
1041637705,0,2014/03/08,40,(null),845,56,R2,-4,167,548,2,721,65,0,2,0
1061858720,0,2016/04/07,35,(null),84,24,R1,22,113,296,2,2949,7,0,0,0
1039057200,0,2013/05/01,40,(null),1156,52,R3,-14,54,80,0,63,3,0,0,0
1040107380,0,2013/08/23,40,(null),1042,58,R2,-10,1389,10539,1,205,431,0,0,0
1005427635,1,2014/01/15,29,2016/09/05,897,20,R3,-6,104,134,1,521,11,0,0,0
1094897370,1,2012/11/08,40,2016/08/14,1330,27,R2,-20,83,175,1,333,27,0,0,0
1099598010,0,2014/11/04,30,(null),604,65,R6,4,16,55,4,143,1,0,0,0
