422869,2010/08/14:07:57:55 AM,4,CALLCENTER,BILL DISPUTE
619079,2010/08/21:01:08:42 PM,4,CALLCENTER,BILL DISPUTE
681601,2010/08/20:10:34:33 AM,9,STORE,SERVICE COMPLAINT
388548,2010/08/21:06:16:58 PM,5,ONLINE,ACCOUNT SUMMARY
566570,2010/08/22:09:31:37 AM,1,ONLINE,ACCOUNT SUMMARY
503783,2010/09/12:02:14:21 PM,7,ONLINE,REVIEW CONTRACT
594079,2010/09/17:02:34:24 PM,6,STORE,BILL DISPUTE
617958,2010/08/06:05:30:42 PM,3,ONLINE,VIEW BILL
403232,2010/09/16:04:26:42 PM,6,STORE,CANCEL SERVICE
591000,2010/08/22:05:26:52 PM,6,ONLINE,REVIEW CONTRACT
468322,2010/08/10:09:00:44 AM,1,ONLINE,PROFILE UPDATE
422888,2010/07/31:08:03:19 AM,5,CALLCENTER,SERVICE COMPLAINT
570730,2010/08/30:05:10:10 PM,13,ONLINE,BROWSE DEVICES
378821,2010/09/29:08:17:59 AM,9,STORE,CANCEL SERVICE
558515,2010/07/29:11:30:27 PM,7,CALLCENTER,BILL DISPUTE
512572,2010/09/05:10:35:12 PM,5,ONLINE,ACCOUNT SUMMARY
553886,2010/08/31:08:03:26 AM,1,CALLCENTER,SERVICE COMPLAINT
616877,2010/08/09:05:13:56 PM,6,ONLINE,ACCOUNT SUMMARY
401232,2010/09/14:06:30:23 AM,3,CALLCENTER,BILL DISPUTE
651400,2010/09/04:06:34:34 PM,12,ONLINE,ACCOUNT SUMMARY
455577,2010/09/15:06:58:36 PM,9,STORE,SERVICE COMPLAINT
685557,2010/08/15:06:32:12 AM,1,CALLCENTER,CANCEL SERVICE
475643,2010/09/18:11:41:27 AM,11,CALLCENTER,SERVICE COMPLAINT
521504,2010/08/09:01:05:49 AM,2,ONLINE,CANCEL SERVICE
501724,2010/08/19:12:35:24 AM,9,CALLCENTER,BILL DISPUTE
438203,2010/08/31:05:31:34 AM,15,CALLCENTER,CANCEL SERVICE
632028,2010/08/03:07:59:05 PM,1,ONLINE,ACCOUNT SUMMARY
455699,2010/11/05:11:04:07 AM,11,ONLINE,BILL DISPUTE
422869,2010/08/23:01:57:55 AM,5,CALLCENTER,BILL DISPUTE
619079,2010/08/24:08:08:42 PM,5,STORE,SERVICE COMPLAINT
