9,"Cut Rite Motors","4768 Leroy Lane","Sioux Falls","SD",57102,"US","DarylLCarroll@trashymail.com","605-978-1393","cutriteautosells.com",43.468723,-96.762774
10,"Auto Works","2721 Tator Patch Road","Chicago","IL",60606,"US","SonyaHButler@pookmail.com","312-855-1969","chiautoworkssells.com",41.932109,-87.729468
7,"One-Up Automotive","2931 Rosemont Avenue","Oviedo","FL",32765,"US","LeonCPeterson@pookmail.com","321-754-2437","AutomobileBuzz111.com",28.636369,-81.249862
5,"Rossi Automotive","1526 Bloomfield Way","North New Portland","ME",4961,"US","RichardIPettit@pookmail.com","207-628-6775","wearerossiauto.com",44.883182,-69.971379
3,"Champion Auto Sales","4450 Custer Street","Johnstown","PA",15904,"US","RitaRJohnson@pookmail.com","814-952-9846","championautosales.com",40.329585,-78.779355
1,"10000 Hills Auto","4821 Spinnaker Lane","Spring Valley","IL",61362,"US","CalvinSRamey@dodgit.com","815-664-9576","10000hills.com",41.438535,-89.168918
8,"Auto Works","3596 Rose Street","Chicago","IL",60605,"US","BrendaJHunt@dodgit.com","708-228-9173","autoworksisawesome.com",41.832741,-87.592609
6,"Henry's","609 Irving Place","Smithtown","NY",11787,"US","CharlesSParker@spambob.com","631-979-8392","henrysautoandstuffsales.com",40.817155,-73.290401
4,"STM Auto","3811 Walkers Ridge Way","West Chicago","IL",60185,"US","LindaAFinnerty@dodgit.com","630-234-2260","stmautosales.com",41.927132,-88.119632
2,"CSK Auto","3149 Park Avenue","Sacramento","CA",95817,"US","ThomasSJohn@spambob.com","916-451-2707","cskautosales.com",38.468198,-121.406996
