20167,"5ZZ96674B5C659E4B",2,"Battery Replacement",10123,1
20024,"5ZZ888A4B05F3F27D",2,"Battery Replacement",10847,1
20146,"5ZZ8AAC4C137F993C",6,"Battery Replacement",10703,1
20003,"5ZZB59546F11765B4",2,"Battery Replacement",11172,1
20125,"5ZZ87334F9A14E921",9,"Battery Replacement",9279,1
20186,"5ZZ882C476E58B522",6,"Battery Replacement",11115,1
20043,"5ZZB78D426FF5500E",3,"Battery Replacement",11655,1
20165,"5ZZ98F14F7528ECC4",5,"Battery Replacement",10009,1
20022,"5ZZA48A4E883EDD66",9,"Battery Replacement",9504,1
20144,"5ZZ90334BD02E75A5",0,"Battery Replacement",8287,1
20205,"5ZZB7614349330175",3,"Battery Replacement",10766,1
20001,"5ZZ8B784FD6E3ABB4",1,"Battery Replacement",9006,1
20184,"5ZZ8F9C4AC4E48E45",9,"Battery Replacement",9572,1
20041,"5ZZA59046DADDD61D",7,"Battery Replacement",8080,1
20163,"5ZZ84F34B522596D0",4,"Battery Replacement",9022,1
20020,"5ZZB93B4C61E2DBBA",1,"Battery Replacement",8097,1
20203,"5ZZ93A9471D53FB90",4,"Battery Replacement",8866,1
20060,"5ZZBCEB4641062463",7,"Battery Replacement",8603,1
20182,"5ZZBD754865AAC9AB",7,"Battery Replacement",11213,1
20039,"5ZZ98C8417AB99C8E",7,"Battery Replacement",9891,1
20161,"5ZZ8E3443D27A9B3B",8,"Battery Replacement",9984,1
20222,"5ZZ8313443AB139F3",8,"Battery Replacement",10034,1
20018,"5ZZ9B4245B5BA5BE8",5,"Battery Replacement",8145,1
20079,"5ZZBB7742D59DD708",6,"Battery Replacement",9180,1
20201,"5ZZ8D2B425476311B",8,"Battery Replacement",8592,1
20058,"5ZZA69348425796EA",4,"Battery Replacement",9397,1
20180,"5ZZAF7249D4E38467",0,"Battery Replacement",8484,1
20037,"5ZZ918B40ECCC0377",7,"Battery Replacement",9118,1
20220,"5ZZ88804C0088B164",0,"Battery Replacement",10306,1
