"984"	"2017-10-13"	"Y"
"457"	"2018-07-24"	"Y"
"292"	"2016-10-30"	"Y"
"131"	"2016-06-20"	"Y"
"854"	"2016-12-29"	"Y"
"1436"	"2017-02-19"	"Y"
"1190"	"2018-10-25"	"Y"
"1113"	"2017-12-19"	"Y"
"744"	"2018-05-04"	"Y"
"388"	"2018-06-25"	"Y"
"961"	"2018-09-24"	"Y"
"1254"	"2018-12-22"	"Y"
"421"	"2019-03-25"	"Y"
"904"	"2019-03-21"	"Y"
"177"	"2017-08-06"	"Y"
"145"	"2016-07-31"	"Y"
"1149"	"2016-10-17"	"Y"
"593"	"2016-05-21"	"Y"
"629"	"2019-04-26"	"Y"
"731"	"2016-06-08"	"Y"
"746"	"2018-06-21"	"Y"
"887"	"2016-06-29"	"Y"
"37"	"2018-11-28"	"Y"
"36"	"2017-04-26"	"Y"
"921"	"2017-09-22"	"Y"
"1193"	"2018-02-08"	"Y"
"1577"	"2016-11-16"	"Y"
"248"	"2016-08-20"	"Y"
"983"	"2017-04-24"	"Y"
"234"	"2018-06-06"	"Y"
"1267"	"2016-10-22"	"Y"
"1275"	"2019-01-17"	"Y"
"1566"	"2017-01-14"	"Y"
"784"	"2018-05-11"	"Y"
"900"	"2018-06-29"	"Y"
"792"	"2017-01-01"	"Y"
"759"	"2018-10-26"	"Y"
"102"	"2016-07-07"	"Y"
"1658"	"2017-05-16"	"Y"
"1197"	"2018-06-03"	"Y"
"1254"	"2017-08-04"	"Y"
"649"	"2018-12-29"	"Y"
"1410"	"2016-09-29"	"Y"
"1166"	"2016-12-28"	"Y"
"1502"	"2017-05-28"	"Y"
"234"	"2019-04-16"	"Y"
"510"	"2017-01-24"	"Y"
"12"	"2017-02-10"	"Y"
"804"	"2016-11-27"	"Y"
"1233"	"2018-03-31"	"Y"
"421"	"2016-07-21"	"Y"
"1613"	"2019-04-12"	"Y"
"51"	"2016-11-13"	"Y"
"1533"	"2018-03-30"	"Y"
"465"	"2017-04-08"	"Y"
"752"	"2018-10-02"	"Y"
"321"	"2016-10-21"	"Y"
"1469"	"2016-12-04"	"Y"
"597"	"2018-07-06"	"Y"
"293"	"2017-08-24"	"Y"
"1404"	"2017-01-03"	"Y"
"101"	"2017-09-02"	"Y"
"470"	"2016-12-15"	"Y"
"1428"	"2017-06-24"	"Y"
"285"	"2017-10-21"	"Y"
"1353"	"2017-02-12"	"Y"
"748"	"2019-05-13"	"Y"
"1259"	"2018-02-04"	"Y"
"11"	"2018-10-31"	"Y"
"401"	"2018-12-27"	"Y"
"1535"	"2016-12-24"	"Y"
"817"	"2018-10-28"	"Y"
"1449"	"2017-04-20"	"Y"
"164"	"2017-09-20"	"Y"
"1487"	"2017-12-20"	"Y"
"960"	"2017-07-16"	"Y"
"812"	"2018-03-01"	"Y"
"459"	"2016-09-13"	"Y"
"1619"	"2018-04-06"	"Y"
"1066"	"2018-07-22"	"Y"
"43"	"2018-10-18"	"Y"
"540"	"2019-03-16"	"Y"
"1341"	"2018-05-31"	"Y"
"303"	"2018-05-07"	"Y"
"1482"	"2016-11-07"	"Y"
"141"	"2017-02-04"	"Y"
"984"	"2017-02-27"	"Y"
"950"	"2017-09-26"	"Y"
"1480"	"2018-08-31"	"Y"
