BatteryVoltage,Flow,site_no,datetime,Precipitation,GageHeight
,5.74,09497700,2018-06-30 00:00,0.00,0.68
,5.75,09497700,2018-06-30 00:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 00:30,0.00,0.68
,5.76,09497700,2018-06-30 00:45,0.00,0.68
,5.76,09497700,2018-06-30 01:00,0.00,0.68
,5.76,09497700,2018-06-30 01:15,0.00,0.68
12.5,5.76,09497700,2018-06-30 01:30,0.00,0.68
,5.76,09497700,2018-06-30 01:45,0.00,0.68
,5.76,09497700,2018-06-30 02:00,0.00,0.68
,5.75,09497700,2018-06-30 02:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 02:30,0.00,0.68
,5.75,09497700,2018-06-30 02:45,0.00,0.68
,5.75,09497700,2018-06-30 03:00,0.00,0.68
,5.75,09497700,2018-06-30 03:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 03:30,0.00,0.68
,5.75,09497700,2018-06-30 03:45,0.00,0.68
,5.75,09497700,2018-06-30 04:00,0.00,0.68
,5.75,09497700,2018-06-30 04:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 04:30,0.00,0.68
,5.75,09497700,2018-06-30 04:45,0.00,0.68
,5.75,09497700,2018-06-30 05:00,0.00,0.68
,5.75,09497700,2018-06-30 05:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 05:30,0.00,0.68
,5.75,09497700,2018-06-30 05:45,0.00,0.68
,5.75,09497700,2018-06-30 06:00,0.00,0.68
,5.75,09497700,2018-06-30 06:15,0.00,0.68
13.1,5.75,09497700,2018-06-30 06:30,0.00,0.68
,5.75,09497700,2018-06-30 06:45,0.00,0.68
,5.75,09497700,2018-06-30 07:00,0.00,0.68
,5.75,09497700,2018-06-30 07:15,0.00,0.68
13.4,5.75,09497700,2018-06-30 07:30,0.00,0.68
,5.75,09497700,2018-06-30 07:45,0.00,0.68
,5.75,09497700,2018-06-30 08:00,0.00,0.68
,5.75,09497700,2018-06-30 08:15,0.00,0.68
13.7,5.75,09497700,2018-06-30 08:30,0.00,0.68
,5.74,09497700,2018-06-30 08:45,0.00,0.68
,5.75,09497700,2018-06-30 09:00,0.00,0.68
,5.74,09497700,2018-06-30 09:15,0.00,0.68
13.4,5.74,09497700,2018-06-30 09:30,0.00,0.68
,5.74,09497700,2018-06-30 09:45,0.00,0.68
,5.74,09497700,2018-06-30 10:00,0.00,0.68
,5.74,09497700,2018-06-30 10:15,0.00,0.68
13.4,5.74,09497700,2018-06-30 10:30,0.00,0.68
,5.74,09497700,2018-06-30 10:45,0.00,0.68
,5.74,09497700,2018-06-30 11:00,0.00,0.68
,5.74,09497700,2018-06-30 11:15,0.00,0.68
13.4,5.74,09497700,2018-06-30 11:30,0.00,0.68
,5.74,09497700,2018-06-30 11:45,0.00,0.68
,5.74,09497700,2018-06-30 12:00,0.00,0.68
,5.74,09497700,2018-06-30 12:15,0.00,0.68
13.4,5.74,09497700,2018-06-30 12:30,0.00,0.68
,5.74,09497700,2018-06-30 12:45,0.00,0.68
,5.74,09497700,2018-06-30 13:00,0.00,0.67
,5.74,09497700,2018-06-30 13:15,0.00,0.68
13.4,5.74,09497700,2018-06-30 13:30,0.00,0.68
,5.74,09497700,2018-06-30 13:45,0.00,0.68
,5.74,09497700,2018-06-30 14:00,0.00,0.68
,5.74,09497700,2018-06-30 14:15,0.00,0.67
13.1,5.74,09497700,2018-06-30 14:30,0.00,0.67
,5.74,09497700,2018-06-30 14:45,0.00,0.67
,5.74,09497700,2018-06-30 15:00,0.00,0.67
,5.74,09497700,2018-06-30 15:15,0.00,0.67
12.8,5.74,09497700,2018-06-30 15:30,0.00,0.67
,5.74,09497700,2018-06-30 15:45,0.00,0.68
,5.74,09497700,2018-06-30 16:00,0.00,0.67
,5.74,09497700,2018-06-30 16:15,0.00,0.67
12.8,5.74,09497700,2018-06-30 16:30,0.00,0.67
,5.74,09497700,2018-06-30 16:45,0.00,0.67
,5.74,09497700,2018-06-30 17:00,0.00,0.67
,5.74,09497700,2018-06-30 17:15,0.00,0.67
12.8,5.74,09497700,2018-06-30 17:30,0.00,0.67
,5.74,09497700,2018-06-30 17:45,0.00,0.67
,5.74,09497700,2018-06-30 18:00,0.00,0.67
,5.74,09497700,2018-06-30 18:15,0.00,0.67
12.5,5.74,09497700,2018-06-30 18:30,0.00,0.67
,5.75,09497700,2018-06-30 18:45,0.00,0.67
,5.74,09497700,2018-06-30 19:00,0.00,0.67
,5.75,09497700,2018-06-30 19:15,0.00,0.67
12.5,5.75,09497700,2018-06-30 19:30,0.00,0.67
,5.75,09497700,2018-06-30 19:45,0.00,0.68
,5.74,09497700,2018-06-30 20:00,0.00,0.68
,5.75,09497700,2018-06-30 20:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 20:30,0.00,0.68
,5.75,09497700,2018-06-30 20:45,0.00,0.68
,5.75,09497700,2018-06-30 21:00,0.00,0.68
,5.75,09497700,2018-06-30 21:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 21:30,0.00,0.68
,5.75,09497700,2018-06-30 21:45,0.00,0.68
,5.75,09497700,2018-06-30 22:00,0.00,0.68
,5.75,09497700,2018-06-30 22:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 22:30,0.00,0.68
,5.75,09497700,2018-06-30 22:45,0.00,0.68
,5.75,09497700,2018-06-30 23:00,0.00,0.68
,5.75,09497700,2018-06-30 23:15,0.00,0.68
12.5,5.75,09497700,2018-06-30 23:30,0.00,0.68
,5.75,09497700,2018-06-30 23:45,0.00,0.68
