Temp,Flow,site_no,datetime,Velocity,GageHeight
82.5,133,09429070,2018-07-20 00:00,1.16,3.90
82.3,134,09429070,2018-07-20 00:15,1.15,3.95
82.2,135,09429070,2018-07-20 00:30,1.13,4.01
82.1,129,09429070,2018-07-20 00:45,1.07,4.05
82.0,127,09429070,2018-07-20 01:00,1.03,4.10
81.9,127,09429070,2018-07-20 01:15,1.00,4.19
81.8,129,09429070,2018-07-20 01:30,1.00,4.24
81.7,136,09429070,2018-07-20 01:45,1.04,4.28
81.6,139,09429070,2018-07-20 02:00,1.05,4.31
81.5,138,09429070,2018-07-20 02:15,1.00,4.44
81.5,132,09429070,2018-07-20 02:30,0.94,4.53
81.5,142,09429070,2018-07-20 02:45,0.99,4.58
81.4,140,09429070,2018-07-20 03:00,0.94,4.71
81.4,142,09429070,2018-07-20 03:15,0.93,4.81
81.4,150,09429070,2018-07-20 03:30,0.97,4.87
81.4,146,09429070,2018-07-20 03:45,0.93,4.92
81.4,147,09429070,2018-07-20 04:00,0.93,4.96
81.4,145,09429070,2018-07-20 04:15,0.91,4.98
81.3,150,09429070,2018-07-20 04:30,0.93,5.01
81.3,146,09429070,2018-07-20 04:45,0.91,5.03
81.2,148,09429070,2018-07-20 05:00,0.91,5.05
81.2,149,09429070,2018-07-20 05:15,0.91,5.07
81.2,152,09429070,2018-07-20 05:30,0.93,5.08
81.2,153,09429070,2018-07-20 05:45,0.93,5.09
81.1,153,09429070,2018-07-20 06:00,0.93,5.09
81.1,158,09429070,2018-07-20 06:15,0.96,5.10
81.0,162,09429070,2018-07-20 06:30,0.98,5.11
81.0,158,09429070,2018-07-20 06:45,0.98,5.02
81.0,149,09429070,2018-07-20 07:00,0.94,4.94
81.0,158,09429070,2018-07-20 07:15,1.02,4.89
80.9,157,09429070,2018-07-20 07:30,1.02,4.87
80.9,148,09429070,2018-07-20 07:45,0.96,4.85
80.9,149,09429070,2018-07-20 08:00,0.97,4.83
81.0,156,09429070,2018-07-20 08:15,1.04,4.74
81.0,162,09429070,2018-07-20 08:30,1.11,4.66
81.2,155,09429070,2018-07-20 08:45,1.07,4.61
81.3,154,09429070,2018-07-20 09:00,1.08,4.56
81.4,155,09429070,2018-07-20 09:15,1.10,4.54
81.5,146,09429070,2018-07-20 09:30,1.05,4.48
81.6,140,09429070,2018-07-20 09:45,1.05,4.35
81.8,136,09429070,2018-07-20 10:00,1.04,4.30
