136,"""-Badest customer service -Poor reception -Lots of drop off calls -Bad phones (may be factory refurb sold as new) -Long wait time if you call customer service, many times call disconnect or representative will put on hold for not less 30 min. or (s)he will"""
399,"""After 2 and a half years with one of the big companies, it is such a pleasure to deal with The Company. There was no pressure at all in choosing a phone. In fact, when I looked at more expensive ones, the representative encouraged me to look at something less flashy because it met my needs better. I appreciated that. There have been a couple of small errors in billing but they were quick to correct and credit my account. What a change from my old company where they gave me incorrect information,over-charged me $600, argued with me and said they were just too busy to go over the bill with me. Sometimes I have to wait to get help. But there is someone there who welcomes me, takes my name, offers to get water or coffee and just makes me feel valued. The company has even invested in comfortable chairs for customers who have to wait. I love The Company."""
645,"""BAD SERVICE! poor customer sirvice! Not at all willing to listen and resolve issues. Sarcastic, nasty and should be drummed out of the business! Daughter has called and called and talked to several employees and they are sarcastic and demeaning to her! Not exactly the way a reputable company works. Disgusting."""
132,"""Beware of The Company. It's no more than a bunch of thieves. It took money from my credit card in Nov. When I complained, they told me the money will be applied back to my credit card within 24-48 hours, which did not happen. So far I had to called 25 times and go to the local store 4 times to get my money back. Most of the time they promised me I would receive the money in 24-48 hours. They acknowledged that they wrongfully took my money, but hesitated to return it. What a bunch of crooked thieves!"""
572,"""Buyer beware. You have no recourse with Another Company if you ever have any service problems. I have a new phone past the 30 days (5 months old). I am told I will have to wait a minimum of 5 business days to get a replacement phone during which time I will be totally without service. I travel 100 miles + daily and rely on my phone for emergencies and in the event I have car problems on the road. I will receive a refurbished phone (someone else's problem phone) and no additional extension to the warranty. The CS reps were very nice but are not allowed to go outside Another Company rules regardless of the circumstances. Another Company is and has always been a very uncaring and unconcerned organization when it comes to customer satisfaction. Their overall ratings bare this statement out from other surveys, and they still make no effort to improve or to take care of long term customers that they have never had any problems with. What does this tell you about Another Company? Draw your own conclusion."""
508,"""By far biggest bang for the buck. I do think they need to removing texting fees, but still by far best value for money in State 1 and State y."""
182,"""Carriers are evil; greed based, work with people to sue our kids, charge use twice or more for the same data/access (on example tethering) and bribe senators to take away our freedoms. Use alternative prepay options -- keep your freedoms and save money over the life of a typical plan."""
675,"""Coverage sucks. They claim to have coverage on their map in places they do not. The data only works half the time, the other half of the time it will endlessly load but never successfully access a webpage. If you have a new period of service beginning on the 9th and you have an automatic payment method on file, they will start trying to bill you on the 7th. Remember, you have already PAID for serviec, THROUGH the 8th, but if they have a problem processing your payment on the 7th they will cut your service off and send you an automated text message letting you know. That's stealing as far as I'm concerned. Also, customer service routes you to India, where even the most basic concerns are either misinterpreted due to language barriers or willfully ignored due to policy. Hard to tell."""
474,"""Dear God: PLEASE tell all these carriers that it is better to have 8mbps EVERYWHERE than to have 23 in one place and .5 in another. Just give me a network where if I have a signal, I have good speed. Not faster than cable, just good solid speed. Tmo is probably the only one capable of delivering this right away, but they still have Edge in too many places. I would have preferred if they had bypassed LTE for now and just rolled out HSPA+ 42 everywhere."""
616,"""First the Indian guy on the phone has the wrong address and keeps telling me i already have an account with U-verse before i even signed up. I kept telling him he had the wrong address but he didn't get it, because when I called back the next day and spoke to an American they still had the wrong address. Finally i was able to clear it up and get started. The first installation guy was supposed to come inside to make sure everything was ready for service I was told to be home for specific hours and had to take off work. I thought the guy never showed so i called and apparently he was just checking the outside of the building and left. When i wasn't able to get a signal with a self install i called them back they sent me a dumb tech who couldn't figure out how to install it either. He said somebody would be coming the next day who could fix it. I asked when and he didn't know just said to wait for a call. Later the next day my neighbor tells me a guy from at&t was on the first floor of the apartment, (I have no buzzers working and specified i must be called to be let in) and i live on the third floor. My neighbor said he waited less than 2 minutes and left without calling me. I swiftly canceled the service and got almost all my money back. During the week i ordered i was suggested to sign up for a hotline u can call to help u self install but if i didn't cancel after a week i would be charged $10. This company is hired by at&t to help customers but even though i never had service i was charged and couldn't get my money back. I had to spend an hour on the phone just to get the company name number and cancel. My last nightmare happened when i returned the modem ups lost it and i was charged $150 it was taken straight out of my account since i was forced to sign a contract with auto something to do with my low credit rating. I called asked what happened they said its lost and they would call me back. They never did two weeks later i found the receipt with the tracking number so i called them back. They got the modem, and said they were sending a request for a full rebate. I get a call today and they sent me a check for $100. I was charged $150. So i had to send another request for my $50 check they are calling me friday to make sure it goes through. Worst experience of my life called xfinity they were there in two days installed in 1 and a half hours and havent had any problems"""
302,"""Good signal around Chicago. Never had a problem roaming. Easy, helpful customer service. Decent prices. Reasonable rules. Easy month to month after contract term."""
82,"""Great customer service!!! Even though we didn't report it stolen right away (we thought he must've misplaced it...he is a 12 yo kid), they refunded every penny the other kid charged up! They sat with me on the phone for over 2 hours, going over it line by line and crediting back for every 3rd party purchase/download. It was a lot of time I didn't really have, but the lady, Lisa Goss, was absolutely amazing...patient and very, very nice. I was mad...you can't imagine how mad...and she was just great. Their customer service is usually really good anyway though. I think that is why we stick with them even with the other stuff. You just can't find good customer service anymore. """
623,"""Great value, least expensive carrier in Central Oregon. Terrific service, no dropped calls, other family members are contracted with The Company, The Company and The Company. They experience more dropped calls than we do. The Company partners with The Company towers, only time when we experience disruption is when we are travelling over the Cascades, or in DEEP canyons while rafting."""
21,"""Had The Company for around 10 years, never had a dropped call and travel around the US quite a bit too w/o any issues. Plans are decent pricing."""
